2024-09-09 12:19:02,377 INFO [main]	register protocol:1 success
2024-09-09 12:19:02,426 INFO [main]	register protocol:29 success
2024-09-09 12:19:02,429 INFO [main]	register protocol:4 success
2024-09-09 12:19:02,432 INFO [main]	register protocol:3 success
2024-09-09 12:19:02,433 INFO [main]	register protocol:31 success
2024-09-09 12:19:02,434 INFO [main]	register protocol:28 success
2024-09-09 12:19:02,435 INFO [main]	register protocol:32 success
2024-09-09 12:19:02,437 INFO [main]	register protocol:33 success
2024-09-09 12:19:02,437 INFO [main]	register protocol:30 success
2024-09-09 12:19:02,439 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2024-09-09 12:19:02,440 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2024-09-09 12:19:02,441 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2024-09-09 12:19:02,441 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2024-09-09 12:19:02,448 INFO [main]	create thread:server-work-thread-1
2024-09-09 12:19:02,448 INFO [main]	create thread:server-work-thread-2
2024-09-09 12:19:02,449 INFO [main]	create thread:server-work-thread-3
2024-09-09 12:19:02,450 INFO [main]	create thread:server-work-thread-4
2024-09-09 12:19:02,450 INFO [main]	create thread:server-work-thread-5
2024-09-09 12:19:02,450 INFO [main]	create thread:server-work-thread-6
2024-09-09 12:19:02,450 INFO [main]	create thread:server-work-thread-7
2024-09-09 12:19:02,451 INFO [main]	create thread:server-work-thread-8
2024-09-09 12:19:02,451 INFO [main]	create thread:server-work-thread-9
2024-09-09 12:19:02,451 INFO [main]	create thread:server-work-thread-10
2024-09-09 12:19:02,451 INFO [main]	create thread:server-work-thread-11
2024-09-09 12:19:02,452 INFO [main]	create thread:server-work-thread-12
2024-09-09 12:19:02,486 INFO [main]	use jdk nio event mode
2024-09-09 12:19:02,511 INFO [main]	create thread:timeout-timer-thread-1
2024-09-09 12:19:02,689 WARN [main]	meta file not exist, name=./data/log/metadata
2024-09-09 12:19:02,692 WARN [main]	meta file not exist, name=./data/snapshot/metadata
2024-09-09 12:19:02,775 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=appendEntries
2024-09-09 12:19:02,776 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=preVote
2024-09-09 12:19:02,777 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=requestVote
2024-09-09 12:19:02,778 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=installSnapshot
2024-09-09 12:19:02,784 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getConfiguration
2024-09-09 12:19:02,786 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=addPeers
2024-09-09 12:19:02,787 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=removePeers
2024-09-09 12:19:02,789 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getLeader
2024-09-09 12:19:02,792 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=get
2024-09-09 12:19:02,793 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=set
2024-09-09 12:19:02,831 INFO [main]	create thread:server-acceptor-thread-1
2024-09-09 12:19:02,839 INFO [main]	server started on port=8053 success
2024-09-09 12:19:02,882 INFO [main]	create thread:fairStrategy-timer-thread-1
2024-09-09 12:19:02,883 INFO [main]	create thread:client-work-thread-1
2024-09-09 12:19:02,884 INFO [main]	create thread:client-work-thread-2
2024-09-09 12:19:02,884 INFO [main]	create thread:client-work-thread-3
2024-09-09 12:19:02,885 INFO [main]	create thread:client-work-thread-4
2024-09-09 12:19:02,885 INFO [main]	create thread:client-work-thread-5
2024-09-09 12:19:02,885 INFO [main]	create thread:client-work-thread-6
2024-09-09 12:19:02,885 INFO [main]	create thread:client-work-thread-7
2024-09-09 12:19:02,886 INFO [main]	create thread:client-work-thread-8
2024-09-09 12:19:02,886 INFO [main]	create thread:client-work-thread-9
2024-09-09 12:19:02,886 INFO [main]	create thread:client-work-thread-10
2024-09-09 12:19:02,886 INFO [main]	create thread:client-work-thread-11
2024-09-09 12:19:02,886 INFO [main]	create thread:client-work-thread-12
2024-09-09 12:19:02,919 INFO [main]	create thread:client-io-thread-1
